hts10,effective_date_start,effective_date_end
2825400000,2025-09-08,NA
2825503000,NA,NA
2825600000,NA,NA
2825600010,NA,NA
2825600020,NA,NA
2825600050,NA,NA
2825800000,NA,NA
2825901500,NA,NA
2825903000,NA,NA
2825909000,NA,NA
2826120000,NA,NA
2826300000,NA,NA
2826909000,NA,NA
2826909010,NA,NA
2826909090,NA,NA
2827310000,NA,NA
2827394500,NA,NA
2827396000,NA,NA
2827399000,NA,NA
2827399010,NA,NA
2827399050,NA,NA
2827410000,NA,NA
2827495000,NA,NA
2827595100,NA,NA
2827601000,NA,NA
2827605100,NA,NA
2833210000,NA,NA
2833240000,2025-09-08,NA
2833250000,NA,NA
2833270000,NA,NA
2833291000,NA,NA
2833294500,NA,NA
2833295100,NA,NA
2833295110,NA,NA
2833295190,NA,NA
2834210000,NA,NA
2834292000,NA,NA
2834295100,NA,NA
2836600000,NA,NA
2836910000,NA,NA
2836910010,NA,NA
2836910050,NA,NA
2836920000,NA,NA
2836991000,NA,NA
2836995000,NA,NA
2836995010,NA,NA
2836995050,NA,NA
2841800000,NA,NA
2841800010,NA,NA
2841800020,NA,NA
2841800050,NA,NA
2841902000,NA,NA
2841904000,NA,NA
2843290100,NA,NA
2843300000,NA,NA
2843900000,NA,NA
2844101000,NA,NA
2844102000,NA,NA
2844102010,NA,NA
2844102025,NA,NA
2844102055,NA,NA
2844200000,NA,NA
2844200010,NA,NA
2844200020,NA,NA
2844200030,NA,NA
2844200050,NA,NA
2844302000,NA,NA
2844302010,NA,NA
2844302020,NA,NA
2844302050,NA,NA
2844305000,NA,NA
2844305010,NA,NA
2844305050,NA,NA
2844430000,NA,NA
2844430010,NA,NA
2844430021,NA,NA
2844430028,NA,NA
2844430050,NA,NA
2845900100,NA,NA
2846100000,NA,NA
2846100010,NA,NA
2846100050,NA,NA
2846902000,NA,NA
2846902005,NA,NA
2846902015,NA,NA
2846902040,NA,NA
2846902082,NA,NA
2846902084,NA,NA
2846904000,NA,NA
2846908000,NA,NA
2846908070,NA,NA
2846908075,NA,NA
2846908090,NA,NA
2849201000,NA,NA
2849202000,NA,NA
2849903000,NA,NA
2853901000,NA,NA
2853909000,NA,NA
2853909010,NA,NA
2853909090,NA,NA
2903451000,NA,NA
2903511000,2025-09-08,NA
2903599000,NA,NA
2903699000,NA,NA
2903780000,NA,NA
2903799000,NA,NA
2903799030,NA,NA
2903799070,NA,NA
2903891500,NA,NA
2903892000,NA,NA
2903897000,NA,NA
2903897010,NA,NA
2903897090,NA,NA
2903920000,NA,NA
2904994000,NA,NA
2905299000,NA,NA
2905399000,NA,NA
2905591000,NA,NA
2905599000,NA,NA
2906195000,NA,NA
2906296000,NA,NA
2907299000,NA,NA
2908196000,NA,NA
2909191800,NA,NA
2909200000,NA,NA
2909306000,NA,NA
2909491000,NA,NA
2909491500,NA,NA
2909492000,NA,NA
2909496000,NA,NA
2909504000,NA,NA
2909504010,NA,NA
2909504050,NA,NA
2909504500,NA,NA
2909505000,NA,NA
2912195000,NA,NA
2912492600,NA,NA
2914190000,NA,NA
2914409000,NA,NA
2914503000,NA,NA
2914505000,NA,NA
2914620000,NA,NA
2914692100,NA,NA
2914699000,NA,NA
2914794000,NA,NA
2915293000,NA,NA
2915393100,NA,NA
2915393500,NA,NA
2915394700,NA,NA
2915399000,NA,NA
2915901000,NA,NA
2915901010,NA,NA
2915901050,NA,NA
2915901400,NA,NA
2915901800,NA,NA
2915901810,NA,NA
2915901890,NA,NA
2915902000,NA,NA
2915905000,NA,NA
2915905010,NA,NA
2915905050,NA,NA
2916193000,NA,NA
2916195000,NA,NA
2916205000,NA,NA
2916315000,NA,NA
2916394600,NA,NA
2916397900,NA,NA
2917130000,NA,NA
2917130030,NA,NA
2917130090,NA,NA
2917191000,NA,NA
2917197000,NA,NA
2917197020,NA,NA
2917197050,NA,NA
2917340100,NA,NA
2917340110,NA,NA
2917340150,NA,NA
2917393000,NA,NA
2918115100,NA,NA
2918135000,NA,NA
2918165000,NA,NA
2918165010,NA,NA
2918165020,NA,NA
2918165050,NA,NA
2918165090,NA,NA
2918196000,NA,NA
2918199000,NA,NA
2918221000,NA,NA
2918225000,NA,NA
2918233000,NA,NA
2918235000,NA,NA
2918292000,NA,NA
2918296500,NA,NA
2918297500,NA,NA
2918302500,NA,NA
2918303000,NA,NA
2918309000,NA,NA
2918993000,NA,NA
2918994300,NA,NA
2918994700,NA,NA
2918995000,NA,NA
2919903000,NA,NA
2919905000,NA,NA
2919905010,NA,NA
2919905050,NA,NA
2920905100,NA,NA
2921191100,NA,NA
2921196100,NA,NA
2921196110,NA,NA
2921196120,NA,NA
2921196130,NA,NA
2921196140,NA,NA
2921196195,NA,NA
2921290000,NA,NA
2921290010,NA,NA
2921290020,NA,NA
2921290030,NA,NA
2921290055,NA,NA
2921301000,NA,NA
2921305000,NA,NA
2921429000,NA,NA
2921460000,NA,NA
2921493800,NA,NA
2921494300,NA,NA
2921494500,NA,NA
2921495000,NA,NA
2921598000,NA,NA
2921598010,NA,NA
2921598090,NA,NA
2922110000,NA,NA
2922140000,NA,NA
2922190900,NA,NA
2922192000,NA,NA
2922193300,NA,NA
2922196000,NA,NA
2922197000,NA,NA
2922199000,NA,NA
2922199600,NA,NA
2922199610,NA,NA
2922199619,NA,NA
2922199690,NA,NA
2922292700,NA,NA
2922296100,NA,NA
2922298100,NA,NA
2922298110,NA,NA
2922298190,NA,NA
2922310000,NA,NA
2922392500,NA,NA
2922394500,NA,NA
2922395000,NA,NA
2922410000,NA,NA
2922410010,NA,NA
2922410090,NA,NA
2922425000,NA,NA
2922440000,NA,NA
2922491000,NA,NA
2922492600,NA,NA
2922493000,NA,NA
2922493700,NA,NA
2922494900,NA,NA
2922494910,NA,NA
2922494915,NA,NA
2922494950,NA,NA
2922498000,NA,NA
2922500700,NA,NA
2922501000,NA,NA
2922501100,NA,NA
2922501300,NA,NA
2922501400,NA,NA
2922501700,NA,NA
2922502500,NA,NA
2922503500,NA,NA
2922504000,NA,NA
2922505000,NA,NA
2923100000,NA,NA
2923202000,NA,NA
2923202010,NA,NA
2923202050,NA,NA
2923900100,NA,NA
2924110000,NA,NA
2924191100,NA,NA
2924191110,NA,NA
2924191120,NA,NA
2924191130,NA,NA
2924191150,NA,NA
2924198000,NA,NA
2924211600,NA,NA
2924215000,NA,NA
2924290100,2025-09-08,NA
2924290300,2025-09-08,NA
